subject_id,q5a1,q5a2,q5a3_1,q5a3_2,q5a3_3,q5a3_4,q5a3_5,q5a3_6,q5a3_7,q5a3_8,q5a4_1,q5a4_2,q5a4_3,q5a4_4,q5a4_5,q5a4_6,q5a4_7,q5a4_8,q5a4_9,q5a4_10,q5a4_11,q5a5,q5a6,q5a7,q5a7x,q5a8,q5a9,q5a10,q5a11,q5a12,q5a14,q5b1,q5b2,q5b2x,q5b3,q5b3x,q5b4,q5b5,q5b5x,q5b6,q5b6x,q5c1,q5c1a,q5c1x,q5c2,q5c2a,q5c2x,q5c3,q5c3a,q5c3x,q5c4,q5c4a,q5c4x,q5c5,q5c5a,q5c5x,q5c6,q5c6a,q5c6x,q5c7,q5c7a,q5c7x,q5c8,q5c8a,q5c8x,q5c9,q5c9a,q5c9x,q5c10,q5c10a,q5c10x,q5c11,q5c11a,q5c11x,q5c12,q5c12a,q5c12x,q5c13,q5c13a,q5c13x,q5c14,q5c14a,q5c14x,q5c15,q5c15a,q5c15x,q5c16,q5c16a,q5c16x,q5c17,q5c17a,q5c17x,q5c18,q5c18a,q5c18x,q5c19,q5c19a,q5c19x,q5c20,q5c20a,q5c20x,q5c21,q5c21a,q5c21x,q5c22,q5c22a,q5c22x,q5c23,q5c23a,q5c23x,q5c24,q5c24a,q5c24x,q5c25_1,q5c25_1a,q5c25_1x,q5c25_2,q5c25_2a,q5c25_2x,q5c25_3,q5c25_3a,q5c25_3x,q5c25_4,q5c25_4a,q5c25_4x,q5c25_5,q5c25_5a,q5c25_5x
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,,1,1,My husband has lost his job,3,0,0,1,3,3,,,,,,,,,,,1,,25,1,,21,4,,,2,,150,2,,60,2,,200,2,,60,2,,225,2,,175,4,,,3,,350,4,,,2,,150,4,,,4,,,2,,100,3,,450,4,,,4,,,3,,1200,4,,,1,,75,4,,,4,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,1,1,1,0,1,1,robbed at gunpoint for my car,3,0,0,0,2,3,,,,,,,,,,,1,,100,1,,100,1,,100,2,,200,3,,200,2,,100,2,,100,2,,140,4,,,4,,,2,,10,2,,10,2,,30,4,,,,,,,,,2,,100,2,,100,2,,50,4,,,4,,,2,,120,2,,50,4,,,,,,,,,,,,,,,,,
15,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,0,0,1,0,0,0,,,1,1,1,1,1,5,,,,,,,,,,,4,,,1,,30,4,,,2,,50,1,,10,1,,25,4,,,4,,,4,,,4,,,4,,,4,,,4,,,2,,35,,,,,,,4,,,98,98,,4,,,4,,,4,,,1,,28,4,,,4,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,0,0,0,0,,1,1,Increase in work responsibilities ,3,0,0,0,2,2,,,,,,,,,1,1700,1,,40,1,,60,1,,15,2,,25,2,,15,2,,60,2,,95,2,,105,2,,165,4,,,3,,60,4,,,2,,14,4,,,,,,,,,4,,,4,,,2,,100,3,,3000,4,,,2,,35,3,,60,2,,120,1,PET CARE,10,2,INSURANCE,90,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,1,,1,,,,3,1,2500,,,1,,100,1,,150,1,,30,3,,1000,2,,30,2,,20,2,,100,2,,50,2,,80,2,,20,3,,200,3,,200,3,,200,4,,,,,,,,,4,,,4,,,3,,500,3,,1000,4,,,3,,300,2,,40,4,,,,,,,,,,,,,,,,,
21,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,1,1,,,1,5000,,,,,,2,,3000,4,,,3,,200,98,5,,3,,100,98,8,,2,,700,2,,350,2,,50,98,5,,3,,300,3,,100,2,,100,4,,,4,,,3,,23000,3,,17000,4,,,3,,100,3,,1000,4,,,2,,100,4,,,2,,110,,,,,,,,,,,,,,,
22,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,3,,,,,,,,,,,1,,55,4,,,4,,,4,,,4,,,4,,,4,,,2,,110,2,,152,4,,,4,,,4,,,98,9,,4,,,,,,,,,4,,,4,,,98,8,,4,,,98,98,,2,,112,4,,,4,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,1,1,We had a flood in our apartment rendering it unlivable. ,3,0,0,0,3,2,,,,,,,,,,,1,,200,1,,200,1,,50,2,,400,1,,50,2,,200,2,,300,2,,200,2,,250,4,,,3,,5000,3,,1000,3,,3000,3,,2600,,,,,,,4,,,4,,,2,,600,3,,10000,4,,,2,,200,2,,150,2,,550,2,GIFTS,100,2,DONATIONS,200,,,,,,,,,
25,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,0,1,0,2,1,,,,,,,,,,,1,,100,1,,30,2,,30,2,,400,1,,20,1,,30,2,,100,2,,300,2,,117,4,,,2,,50,3,,90,2,,30,4,,,4,,,1,,70,4,,,4,,,4,,,3,,1000,4,,,4,,,4,,,1,,60,,,,,,,,,,,,,,,
26,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,3,1,,,98,,,,,,,1,,200,1,,150,97,1,,1,,50,97,1,,97,2,,2,,200,2,,200,2,,175,97,2,,2,,100,98,1,,97,2,,98,98,,,,,,,,4,,,4,,,2,,200,3,,3000,4,,,2,,175,4,,,1,,50,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,,0,,,2,0,0,0,2,3,,,,,,,,,,,97,97,,4,,,4,,,98,6,,1,,20,2,,35,4,,,2,,120,4,,,4,,,98,2,,4,,,3,,200,4,,,4,,,3,,400,4,,,4,,,98,1,,98,3,,4,,,2,,40,4,,,4,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,3,,,,,,,,,,,2,,75,4,,,2,,20,4,,,3,,60,3,,75,98,2,,98,98,,98,98,,4,,,3,,80,4,,,3,,90,4,,,,,,,,,4,,,4,,,4,,,4,,,4,,,3,,90,4,,,4,,,2,LOTTERY TICKETS,45,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,3,1,,,1,1500,,,,,,1,,100,4,,,4,,,3,,400,2,,10,2,,60,2,,300,2,,50,2,,300,4,,,4,,,4,,,2,,15,4,,,,,,,,,4,,,4,,,2,,30,4,,,4,,,4,,,4,,,4,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,1,,,,,,,,,,,97,3,,97,1,,97,1,,97,5,,97,3,,97,1,,97,2,,97,3,,97,2,,97,1,,97,3,,4,,,97,1,,4,,,,,,,,,4,,,4,,,97,2,,97,3,,4,,,4,,,97,2,,97,3,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,,3,0,0,0,3,2,,,,,,,,,,,2,,300,2,,150,4,,,3,,2000,3,,1200,2,,150,2,,250,2,,300,2,,240,4,,,3,,300,4,,,2,,50,4,,,4,,,4,,,4,,,4,,,2,,30,3,,2000,4,,,4,,,4,,,1,,80,,,,,,,,,,,,,,,
41,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,1,1,sold house,3,0,0,0,3,5,,,,,,,,,1,3000,2,,500,4,,,2,,80,4,,,4,,,3,,300,4,,,4,,,2,,400,4,,,4,,,4,,,2,,20,4,,,,,,,,,4,,,4,,,4,,,4,,,4,,,1,,50,1,,30,2,,750,3,OFFICE SUPPLIES,800,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,1,1,,,98,,,,,,,1,,150,1,,250,1,,50,2,,750,1,,20,2,,300,2,,250,98,3,,2,,150,98,2,,3,,1500,3,,500,2,,350,2,,100,,,,,,,4,,,4,,,2,,250,3,,10000,4,,,2,,100,2,,160,2,,350,2,GIFTS,100,3,CHARITY,20000,,,,,,,,,
48,3,0,0,0,1,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,,1,1,Daughter moved back in ,3,0,0,0,1,3,1,,,1,3000,,,,,,2,,700,2,,200,2,,20,2,,150,2,,140,2,,200,2,,300,2,,140,2,,200,4,,,3,,500,4,,,2,,50,4,,,,,,,,,4,,,4,,,2,,340,3,,2000,4,,,2,,60,2,,50,4,,,2,HEALTH INSURANCE,250,2,LIFE INSURANCE,40,2,PET CARE,50,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,0,,0,,,3,0,0,1,3,3,,,,,,,,,,,97,3,,97,3,,97,2,,97,3,,97,2,,97,2,,4,,,97,2,,97,2,,4,,,97,3,,97,3,,97,3,,4,,,,,,,,,4,,,4,,,97,3,,97,4,,4,,,97,3,,97,3,,4,,,,,,,,,,,,,,,,,
58,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,,0,,,1,0,0,0,1,3,,,,,,,,,,,2,,400,2,,20,2,,20,2,,50,1,,25,2,,90,2,,164,2,,245,4,,,4,,,4,,,4,,,3,,100,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,1,,30,4,,,4,,,3,PET CARE,500,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3,0,0,0,0,1,0,0,,,1,1,0,0,0,0,1,0,0,0,0,,1,1,landlady passed away,3,0,0,1,2,3,,,,,,,,,,,2,,300,2,,100,2,,100,4,,,2,,75,2,,75,4,,,2,,100,2,,50,4,,,4,,,4,,,2,,150,4,,,,,,,,,4,,,4,,,4,,,3,,400,4,,,2,,150,2,,60,4,,,2,LOTTERY,260,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,,,2,0,0,0,1,3,,,,,,,,,,,2,,350,98,1,,98,1,,98,3,,98,1,,98,1,,2,,100,2,,200,2,,200,2,,50,98,2,,4,,,98,1,,4,,,2,,60,2,,400,4,,,4,,,4,,,4,,,4,,,4,,,4,,,2,,160,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3,0,0,0,0,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,,1,1,change in job location,3,0,0,0,2,2,1,,,98,,,,,,,98,3,,98,3,,4,,,98,3,,4,,,2,,100,2,,100,2,,100,2,,100,98,1,,4,,,2,,100,2,,100,4,,,,,,,,,4,,,4,,,2,,300,3,,1000,4,,,2,,120,4,,,2,,40,,,,,,,,,,,,,,,
70,3,0,0,0,0,0,0,0,,,0,1,0,0,0,0,1,0,0,0,0,,0,,,3,0,0,0,2,2,,,,,,,,,,,98,2,,98,1,,98,1,,98,5,,98,4,,98,4,,98,2,,98,3,,98,2,,98,3,,98,4,,98,3,,98,3,,98,1,,,,,,,,4,,,4,,,3,,200,3,,800,4,,,3,,200,3,,100,3,,3500,,,,,,,,,,,,,,,
71,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,0,0,0,3,1,1,,,1,2000,,,,,,2,,200,2,,175,2,,20,2,,50,2,,65,2,,40,2,,75,2,,150,2,,80,4,,,3,,200,3,,300,2,,30,2,,50,,,,,,,2,,500,4,,,2,,100,3,,1000,4,,,2,,160,4,,,2,,125,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,2,,,,,,,,,,,1,,150,1,,200,1,,50,1,,50,1,,30,1,,20,2,,90,2,,110,2,,140,2,,150,2,,100,3,,1000,1,,40,4,,,,,,,,,3,,150,4,,,1,,50,2,,350,4,,,2,,110,4,,,4,,,2,STUDENT LOAN,580,2,CREDIT CARD BILLS,300,,,,,,,,,
77,3,0,0,0,0,0,1,0,,,0,0,1,0,0,0,0,1,0,0,0,,0,,,3,0,0,0,2,97,,,,,,,,,,,2,,385,2,,80,4,,,2,,350,1,,150,2,,60,4,,,2,,50,2,,12,4,,,2,,100,2,,120,2,,60,4,,,,,,,,,4,,,4,,,4,,,4,,,2,,35,2,,20,4,,,4,,,2,PET CARE,45,,,,,,,,,,,,
